Summary Statistic	joint	prior	likelihood	geography.clock.rate	H.nonZeroRates	H.indicators1	H.indicators2	H.indicators3	H.indicators4	H.indicators5	H.indicators6	H.indicators7	H.indicators8	H.indicators9	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.dis_mat	geography.coefficients.h3n2_rate_origin	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.branchRates
mean	-4878.7803	-576.3311	-4302.4493	0.6934	2.9542	0.0934	0.689	8.8496E-3	0.5932	0.9974	0.0182	8.8496E-3	0.0299	0.5154	-0.0948	-0.1871	-0.0095	0.2487	0.801	-0.0127	-0.0127	-0.0573	0.3019	-0.0171	-0.132	8.2232E-5	0.1462	0.7988	1.7314E-3	-0.0003	2.8356E-3	0.1091	0
stderr of mean	0.4702	0.372	0.5834	4.3823E-4	0.0326	5.8682E-3	0.0156	1.6315E-3	0.0131	8.2201E-4	2.4459E-3	1.591E-3	3.0899E-3	0.0181	0.0268	9.3971E-3	0.0317	8.5104E-3	1.1423E-3	0.0329	0.0317	0.0311	0.0101	1.1984E-3	3.0342E-3	1.0218E-4	3.4319E-3	1.3604E-3	3.2562E-4	1.0351E-4	4.4725E-4	3.9813E-3	0
stdev	27.1784	22.7116	34.7641	0.0271	0.9657	0.2911	0.463	0.0937	0.4913	0.051	0.1338	0.0937	0.1704	0.4998	1.6608	0.5573	1.9551	0.5195	0.0553	1.922	1.9679	1.7851	0.5411	0.0627	0.1	6.1934E-3	0.134	0.0687	0.0181	6.1785E-3	0.023	0.1155	0
variance	738.6634	515.8151	1208.5422	7.3387E-4	0.9326	0.0847	0.2143	8.7735E-3	0.2414	2.5967E-3	0.0179	8.7735E-3	0.029	0.2498	2.7583	0.3106	3.8223	0.2698	3.0576E-3	3.6942	3.8728	3.1865	0.2928	3.9269E-3	9.9985E-3	3.8359E-5	0.0179	4.7151E-3	3.289E-4	3.8174E-5	5.2943E-4	0.0133	0
median	-4879.6093	-575.9715	-4303.2264	0.6929	3	0	1	0	1	1	0	0	0	1	-0.208	-0.1991	-0.014	0.2612	0.8007	5.6554E-3	-0.0352	-0.0908	0.2399	-0	-0.157	0	0.1787	0.8005	0	-0	-0	0.1035	0
value range	[-4964.4227, -4782.8502]	[-678.1404, -489.0773]	[-4421.2891, -4166.2534]	[0.5931, 0.8018]	[0, 6]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[-7.0188, 6.9504]	[-5.0069, 4.7419]	[-7.9758, 6.8938]	[-6.5132, 5.647]	[0.6013, 0.977]	[-7.2303, 7.1265]	[-7.2723, 7.3639]	[-7.9368, 7.7218]	[-4.7826, 8.461]	[-0.6422, 0.1544]	[-0.3851, 0.0182]	[-0.0899, 0.1408]	[-0.0088, 0.6467]	[0, 0.977]	[-0.1718, 0.3544]	[-0.117, 0.1438]	[-0.4268, 0.3458]	[0, 0.6872]	[0, 0]
geometric mean	n/a	n/a	n/a	0.6929	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.799	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-4932.0046, -4825.4526]	[-621.0721, -532.5184]	[-4369.4476, -4231.806]	[0.6454, 0.7539]	[1, 4]	[0, 1]	[0, 1]	[0, 0]	[0, 1]	[1, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[-3.5178, 3.7031]	[-1.2197, 0.7447]	[-3.7683, 3.8406]	[-0.401, 1.1722]	[0.6978, 0.9132]	[-3.6554, 4.0045]	[-3.8789, 3.8702]	[-3.7059, 3.738]	[0.0416, 1.7761]	[-0.1639, -0]	[-0.2754, -0]	[0, 0]	[0, 0.339]	[0.6936, 0.9121]	[-0, -0]	[-0, 0]	[0, 0]	[0, 0.2947]	n/a
auto-correlation time (ACT)	1150.0809	1031.2487	1082.1209	1005.6748	4378.1889	1561.8231	4384.5102	1165.9815	2740.2909	1000	1284.973	1108.7505	1263.2798	5064.2589	1000	1092.6241	1009.1735	1031.4965	1640.1124	1122.7156	1000	1163.5585	1329.3264	1405.3546	3538.4572	1045.9486	2522.4069	1508.3768	1238.9061	1078.7094	1451.9676	4567.8864	n/a
effective sample size (ESS)	3340.6	3725.6	3550.4	3820.3	877.5	2459.9	876.3	3295.1	1402	3842	2989.9	3465.2	3041.3	758.6	3842	3516.3	3807.1	3724.7	2342.5	3422.1	3842	3301.9	2890.2	2733.8	1085.8	3673.2	1523.1	2547.1	3101.1	3561.7	2646.1	841.1	n/a
number of samples	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842	3842
